Island start	Island end	Length	Method	Gene name	Gene ID	Locus	Gene start	Gene end	Strand	Product	External Annotations
237107	243802	6695	Predicted by at least one method			BV884_01135	237190	238407	-1	tetracycline efflux MFS transporter Tet(B)	
237107	243802	6695	Predicted by at least one method			BV884_01140	238489	239112	1	transposase	
237107	243802	6695	Predicted by at least one method			BV884_01145	239090	239494	-1	ArsR family transcriptional regulator	
237107	243802	6695	Predicted by at least one method			BV884_01150	239732	241225	-1	IS91 family transposase	
237107	243802	6695	Predicted by at least one method			BV884_01155	241436	241660	-1	hypothetical protein	
237107	243802	6695	Predicted by at least one method			BV884_01160	241673	241876	-1	hypothetical protein	
237107	243802	6695	Predicted by at least one method			BV884_01165	241780	242616	-1	aminoglycoside O-phosphotransferase APH(6)-Id	
237107	243802	6695	Predicted by at least one method			BV884_01170	242616	243419	-1	aminoglycoside O-phosphotransferase APH(3'')-Ib	
944747	950580	5833	Predicted by at least one method			BV884_04525	944747	945904	1	integrase	
944747	950580	5833	Predicted by at least one method			BV884_04530	945901	946785	1	endonuclease/exonuclease/phosphatase	
944747	950580	5833	Predicted by at least one method			BV884_04535	946776	947231	1	hypothetical protein	
944747	950580	5833	Predicted by at least one method			BV884_04540	947346	948338	1	FRG domain-containing protein	
944747	950580	5833	Predicted by at least one method			BV884_04545	948516	948731	-1	hypothetical protein	
944747	950580	5833	Predicted by at least one method			BV884_04550	948728	948937	-1	hypothetical protein	
944747	950580	5833	Predicted by at least one method			BV884_04555	948934	949443	-1	hypothetical protein	
944747	950580	5833	Predicted by at least one method			BV884_04560	949440	949976	-1	hypothetical protein	
944747	950580	5833	Predicted by at least one method			BV884_04565	949969	950148	-1	hypothetical protein	
944747	950580	5833	Predicted by at least one method			BV884_04570	950149	950439	-1	hypothetical protein	
1022284	1028900	6616	Predicted by at least one method			BV884_04975	1022284	1022925	-1	hypothetical protein	
1022284	1028900	6616	Predicted by at least one method			BV884_04980	1022922	1023764	-1	hypothetical protein	
1022284	1028900	6616	Predicted by at least one method			BV884_04985	1023909	1024925	-1	hypothetical protein	
1022284	1028900	6616	Predicted by at least one method			BV884_04990	1024962	1025474	-1	DNA polymerase V subunit UmuC	
1022284	1028900	6616	Predicted by at least one method			BV884_04995	1025715	1026380	1	hypothetical protein	
1022284	1028900	6616	Predicted by at least one method			BV884_05000	1026756	1027985	1	integrase	
1022284	1028900	6616	Predicted by at least one method			BV884_05005	1028133	1028900	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_04985	1023909	1024925	-1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_04990	1024962	1025474	-1	DNA polymerase V subunit UmuC	
1023764	1047593	23829	Predicted by at least one method			BV884_04995	1025715	1026380	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05000	1026756	1027985	1	integrase	
1023764	1047593	23829	Predicted by at least one method			BV884_05005	1028133	1028900	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05010	1029110	1029325	1	transcriptional regulator	
1023764	1047593	23829	Predicted by at least one method			BV884_05015	1029328	1029537	1	DNA-binding protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05020	1029534	1030088	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05025	1030081	1030449	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05030	1030459	1030764	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05035	1030886	1031164	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05040	1031177	1033642	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05045	1033976	1034092	1	single-stranded DNA-binding protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05050	1034315	1035757	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05055	1035745	1035840	1	single-stranded DNA-binding protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05060	1036270	1037316	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05065	1037319	1038524	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05070	1040910	1042304	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05075	1042415	1044208	1	NTPase KAP	
1023764	1047593	23829	Predicted by at least one method			BV884_05080	1044236	1045000	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05085	1044993	1046321	1	hypothetical protein	
1023764	1047593	23829	Predicted by at least one method			BV884_05090	1046321	1047061	1	hydrolase TatD	
1023764	1047593	23829	Predicted by at least one method			BV884_05095	1047081	1047359	-1	hypothetical protein	
1029328	1033642	4314	Predicted by at least one method			BV884_05015	1029328	1029537	1	DNA-binding protein	
1029328	1033642	4314	Predicted by at least one method			BV884_05020	1029534	1030088	1	hypothetical protein	
1029328	1033642	4314	Predicted by at least one method			BV884_05025	1030081	1030449	1	hypothetical protein	
1029328	1033642	4314	Predicted by at least one method			BV884_05030	1030459	1030764	1	hypothetical protein	
1029328	1033642	4314	Predicted by at least one method			BV884_05035	1030886	1031164	1	hypothetical protein	
1029328	1033642	4314	Predicted by at least one method			BV884_05040	1031177	1033642	1	hypothetical protein	
1210868	1215759	4891	Predicted by at least one method			BV884_05885	1210071	1210871	1	hypothetical protein	
